G04a_001,G04a_002,G04a_003,G04a_004,G04a_005,G04a_006,G04a_007,G04a_008,G04a_009,G04a_010
62390623,21.8,135.5,0.0,0,6.5,6,6.5,6,6.5
62390624,127.5,280.9,0.0,0,12.4,4,2.5,3,9.1
62390625,61.2,115.9,0.5,0,0.0,1,0.0,1,0.0
62390632,61.9,142.0,0.0,0,0.0,1,0.0,1,0.0
62390633,80.7,259.3,0.0,0,19.1,7,13.6,7,16.5
62390634,168.6,290.7,0.0,0,21.3,1,5.7,5,12.9
62390635,48.9,138.0,0.0,0,12.1,3,6.0,2,9.0
62391297,65.4,173.6,0.0,0,16.3,5,4.7,6,10.1
62391298,38.3,108.6,0.0,0,17.4,4,17.4,4,17.4
62391299,1.6,2.3,0.1,0,0.0,1,0.0,1,0.0
62392207,218.6,592.3,0.0,0,32.3,6,6.7,7,23.5
62392208,324.5,636.1,0.0,0,36.7,5,18.1,5,29.4
62392209,276.3,603.3,0.0,0,35.2,5,18.0,5,28.7
62392216,50.4,186.8,0.0,0,15.8,7,15.8,7,15.8
62392217,371.5,611.6,0.6,0,36.7,7,9.8,1,22.2
62392218,571.2,720.1,368.5,0,28.0,1,5.5,1,16.5
62392219,526.8,731.2,253.0,0,30.7,4,8.5,8,23.1
62392226,71.5,202.9,0.0,0,17.7,7,17.7,7,17.7
62392227,238.5,512.9,0.0,0,31.4,8,11.6,1,22.7
62392228,208.9,454.1,0.0,0,31.3,1,14.4,1,25.5
62392229,201.3,438.7,0.0,0,29.5,1,12.3,2,21.8
62392237,4.9,11.0,0.0,0,0.0,1,0.0,1,0.0
62392300,101.2,309.8,0.0,0,27.1,4,15.7,4,21.0
62392310,182.7,429.3,0.0,0,32.7,3,12.8,3,24.2
62392320,93.2,245.6,0.0,0,16.0,2,11.9,2,14.0
62392729,2.3,3.2,1.1,0,0.0,1,0.0,1,0.0
62392739,1.5,2.9,0.0,0,0.0,1,0.0,1,0.0
62392749,6.2,25.1,0.0,0,2.6,7,1.1,8,2.0
62392758,1.2,4.1,0.0,0,0.0,1,0.0,1,0.0
62392759,24.3,61.0,0.0,0,4.3,6,1.1,6,2.7
62392768,6.9,26.3,0.0,0,4.0,7,2.1,7,2.8
62392769,47.6,110.2,0.0,0,7.8,6,1.9,6,4.2
62392778,14.6,33.9,0.0,0,4.8,7,2.6,7,3.5
62392779,59.4,185.9,5.2,0,15.9,1,1.1,4,6.6
62392788,21.5,54.0,0.0,0,4.8,6,1.9,7,3.6
62392789,80.6,203.0,19.4,0,16.0,5,3.5,6,8.2
62392798,27.7,60.8,0.0,0,6.0,7,3.7,6,5.0
62392799,119.7,270.2,31.8,0,16.3,7,5.0,7,10.8
